epoch,accuracy,loss,val_accuracy,val_loss
0,0.4907279312610626,1.2035269737243652,0.5763688683509827,1.0579382181167603
1,0.6598394513130188,0.8474274277687073,0.5763688683509827,1.0541919469833374
2,0.7425962090492249,0.6529244780540466,0.5677233338356018,1.148058295249939
3,0.795737624168396,0.5378873348236084,0.5533141493797302,1.2142434120178223
4,0.8375311493873596,0.43147602677345276,0.5619596838951111,1.317059874534607
5,0.8627179861068726,0.3629933297634125,0.5360230803489685,1.472112774848938
6,0.8807085752487183,0.31521669030189514,0.5561959743499756,1.5833677053451538
7,0.9111541509628296,0.2541520595550537,0.5763688683509827,1.5704028606414795
8,0.9349570870399475,0.20240053534507751,0.5677233338356018,1.6714807748794556
9,0.9357874393463135,0.17931726574897766,0.5706051588058472,1.8927241563796997
10,0.9427068829536438,0.16268254816532135,0.559077799320221,1.7907347679138184
11,0.9562690258026123,0.13425622880458832,0.5504322648048401,2.2210230827331543
12,0.9584832787513733,0.1342012733221054,0.5533141493797302,2.109347105026245
13,0.9490727782249451,0.1516166478395462,0.5561959743499756,2.136263370513916
14,0.9490727782249451,0.14997994899749756,0.5331411957740784,2.0641214847564697
15,0.947135329246521,0.14740964770317078,0.5648415088653564,2.1691300868988037
16,0.9579296708106995,0.11820494383573532,0.559077799320221,2.2772905826568604
17,0.9568225741386414,0.11995848268270493,0.5561959743499756,2.2633817195892334
18,0.9745364189147949,0.07840827107429504,0.5677233338356018,2.547600269317627
19,0.975643515586853,0.07729039341211319,0.5677233338356018,2.1666955947875977
20,0.9773041605949402,0.06402773410081863,0.5677233338356018,2.404977798461914
21,0.9775809645652771,0.07353002578020096,0.5360230803489685,2.5402040481567383
22,0.9712150692939758,0.0837557390332222,0.5648415088653564,2.5250513553619385
23,0.9634652733802795,0.09898985922336578,0.5706051588058472,2.4655416011810303
24,0.9681705236434937,0.09658919274806976,0.5561959743499756,2.5469162464141846
